Problem:    Mathprog_caso2
                                   0                          -0 
    70 SlotAvailability[AV2,P2,1]
                                   0                          -0 
    71 SlotAvailability[AV2,P2,2]
                                   0                          -0 
    72 SlotAvailability[AV2,P2,3]
                                   0                           1 
    73 SlotAvailability[AV2,P2,4]
                                   0                           1 
    74 SlotAvailability[AV2,P2,5]
                                   0                          -0 
    75 SlotAvailability[AV2,P2,6]
                                   0                          -0 
    76 SlotAvailability[AV2,P2,7]
                                   0                          -0 
    77 SlotAvailability[AV2,P3,1]
                                   0                           1 
    78 SlotAvailability[AV2,P3,2]
                                   0                           1 
    79 SlotAvailability[AV2,P3,3]
                                   0                           1 
    80 SlotAvailability[AV2,P3,4]
                                   0                          -0 
    81 SlotAvailability[AV2,P3,5]
                                   0                          -0 
    82 SlotAvailability[AV2,P3,6]
                                   0                           1 
    83 SlotAvailability[AV2,P3,7]
                                   0                          -0 
    84 SlotAvailability[AV2,P4,1]
                                   1                           1 
    85 SlotAvailability[AV2,P4,2]
                                   0                          -0 
    86 SlotAvailability[AV2,P4,3]
                                   0                          -0 
    87 SlotAvailability[AV2,P4,4]
                                   0                          -0 
    88 SlotAvailability[AV2,P4,5]
                                   0                           1 
    89 SlotAvailability[AV2,P4,6]
                                   0                           1 
    90 SlotAvailability[AV2,P4,7]
                                   0                          -0 
    91 SlotAvailability[AV3,P1,1]
                                   0                          -0 
    92 SlotAvailability[AV3,P1,2]
                                   0                          -0 
    93 SlotAvailability[AV3,P1,3]
                                   0                          -0 
    94 SlotAvailability[AV3,P1,4]
                                   0                          -0 
    95 SlotAvailability[AV3,P1,5]
                                   0                           1 
    96 SlotAvailability[AV3,P1,6]
                                   0                           1 
    97 SlotAvailability[AV3,P1,7]
                                   0                          -0 
    98 SlotAvailability[AV3,P2,1]
                                   0                          -0 
    99 SlotAvailability[AV3,P2,2]
                                   0                          -0 
   100 SlotAvailability[AV3,P2,3]
                                   0                           1 
   101 SlotAvailability[AV3,P2,4]
                                   1                           1 
   102 SlotAvailability[AV3,P2,5]
                                   0                          -0 
   103 SlotAvailability[AV3,P2,6]
                                   0                          -0 
   104 SlotAvailability[AV3,P2,7]
                                   0                          -0 
   105 SlotAvailability[AV3,P3,1]
                                   0                           1 
   106 SlotAvailability[AV3,P3,2]
                                   0                           1 
   107 SlotAvailability[AV3,P3,3]
                                   0                           1 
   108 SlotAvailability[AV3,P3,4]
                                   0                          -0 
   109 SlotAvailability[AV3,P3,5]
                                   0                          -0 
   110 SlotAvailability[AV3,P3,6]
                                   0                           1 
   111 SlotAvailability[AV3,P3,7]
                                   0                          -0 
   112 SlotAvailability[AV3,P4,1]
                                   0                           1 
   113 SlotAvailability[AV3,P4,2]
                                   0                          -0 
   114 SlotAvailability[AV3,P4,3]
                                   0                          -0 
   115 SlotAvailability[AV3,P4,4]
                                   0                          -0 
   116 SlotAvailability[AV3,P4,5]
                                   0                           1 
   117 SlotAvailability[AV3,P4,6]
                                   0                           1 
   118 SlotAvailability[AV3,P4,7]
                                   0                          -0 
   119 SlotAvailability[AV4,P1,1]
                                   0                          -0 
   120 SlotAvailability[AV4,P1,2]
                                   0                          -0 
   121 SlotAvailability[AV4,P1,3]
                                   0                          -0 
   122 SlotAvailability[AV4,P1,4]
                                   0                          -0 
   123 SlotAvailability[AV4,P1,5]
                                   1                           1 
   124 SlotAvailability[AV4,P1,6]
                                   0                           1 
   125 SlotAvailability[AV4,P1,7]
                                   0                          -0 
   126 SlotAvailability[AV4,P2,1]
                                   0                          -0 
   127 SlotAvailability[AV4,P2,2]
                                   0                          -0 
   128 SlotAvailability[AV4,P2,3]
                                   0                           1 
   129 SlotAvailability[AV4,P2,4]
                                   0                           1 
   130 SlotAvailability[AV4,P2,5]
                                   0                          -0 
   131 SlotAvailability[AV4,P2,6]
                                   0                          -0 
   132 SlotAvailability[AV4,P2,7]
                                   0                          -0 
   133 SlotAvailability[AV4,P3,1]
                                   0                           1 
   134 SlotAvailability[AV4,P3,2]
                                   0                           1 
   135 SlotAvailability[AV4,P3,3]
                                   0                           1 
   136 SlotAvailability[AV4,P3,4]
                                   0                          -0 
   137 SlotAvailability[AV4,P3,5]
                                   0                          -0 
   138 SlotAvailability[AV4,P3,6]
                                   0                           1 
   139 SlotAvailability[AV4,P3,7]
                                   0                          -0 
   140 SlotAvailability[AV4,P4,1]
                                   0                           1 
   141 SlotAvailability[AV4,P4,2]
                                   0                          -0 
   142 SlotAvailability[AV4,P4,3]
                                   0                          -0 
   143 SlotAvailability[AV4,P4,4]
                                   0                          -0 
   144 SlotAvailability[AV4,P4,5]
                                   0                           1 
   145 SlotAvailability[AV4,P4,6]
                                   0                           1 
   146 SlotAvailability[AV4,P4,7]
                                   0                          -0 
   147 SlotAvailability[AV5,P1,1]
                                   0                          -0 
   148 SlotAvailability[AV5,P1,2]
                                   0                          -0 
   149 SlotAvailability[AV5,P1,3]
                                   0                          -0 
   150 SlotAvailability[AV5,P1,4]
                                   0                          -0 
   151 SlotAvailability[AV5,P1,5]
                                   0                           1 
   152 SlotAvailability[AV5,P1,6]
                                   0                           1 
   153 SlotAvailability[AV5,P1,7]
                                   0                          -0 
   154 SlotAvailability[AV5,P2,1]
                                   0                          -0 
   155 SlotAvailability[AV5,P2,2]
                                   0                          -0 
   156 SlotAvailability[AV5,P2,3]
                                   0                           1 
   157 SlotAvailability[AV5,P2,4]
                                   0                           1 
   158 SlotAvailability[AV5,P2,5]
                                   0                          -0 
   159 SlotAvailability[AV5,P2,6]
                                   0                          -0 
   160 SlotAvailability[AV5,P2,7]
                                   0                          -0 
   161 SlotAvailability[AV5,P3,1]
                                   0                           1 
   162 SlotAvailability[AV5,P3,2]
                                   0                           1 
   163 SlotAvailability[AV5,P3,3]
                                   0                           1 
   164 SlotAvailability[AV5,P3,4]
                                   0                          -0 
   165 SlotAvailability[AV5,P3,5]
                                   0                          -0 
   166 SlotAvailability[AV5,P3,6]
                                   0                           1 
   167 SlotAvailability[AV5,P3,7]
                                   0                          -0 
   168 SlotAvailability[AV5,P4,1]
                                   0                           1 
   169 SlotAvailability[AV5,P4,2]
                                   0                          -0 
   170 SlotAvailability[AV5,P4,3]
                                   0                          -0 
   171 SlotAvailability[AV5,P4,4]
                                   0                          -0 
   172 SlotAvailability[AV5,P4,5]
                                   0                           1 
   173 SlotAvailability[AV5,P4,6]
                                   1                           1 
   174 SlotAvailability[AV5,P4,7]
                                   0                          -0 
   175 AfterArrival[AV1,P1,1]
                                   0       -999989               
   176 AfterArrival[AV1,P1,2]
                                   0        -1e+06               
   177 AfterArrival[AV1,P1,3]
                                   0  -1.00002e+06               
   178 AfterArrival[AV1,P1,4]
                                   0  -1.00003e+06               
   179 AfterArrival[AV1,P1,5]
                                   0  -1.00005e+06               
   180 AfterArrival[AV1,P1,6]
                                   0  -1.00006e+06               
   181 AfterArrival[AV1,P1,7]
                                   0  -1.00008e+06               
   182 AfterArrival[AV1,P2,1]
                                   0       -999989               
   183 AfterArrival[AV1,P2,2]
                                   0        -1e+06               
   184 AfterArrival[AV1,P2,3]
                                   0  -1.00002e+06               
   185 AfterArrival[AV1,P2,4]
                                   0  -1.00003e+06               
   186 AfterArrival[AV1,P2,5]
                                   0  -1.00005e+06               
   187 AfterArrival[AV1,P2,6]
                                   0  -1.00006e+06               
   188 AfterArrival[AV1,P2,7]
                                   0  -1.00008e+06               
   189 AfterArrival[AV1,P3,1]
                                   0       -999989               
   190 AfterArrival[AV1,P3,2]
                             -999999        -1e+06               
   191 AfterArrival[AV1,P3,3]
                                   0  -1.00002e+06               
   192 AfterArrival[AV1,P3,4]
                                   0  -1.00003e+06               
   193 AfterArrival[AV1,P3,5]
                                   0  -1.00005e+06               
   194 AfterArrival[AV1,P3,6]
                                   0  -1.00006e+06               
   195 AfterArrival[AV1,P3,7]
                                   0  -1.00008e+06               
   196 AfterArrival[AV1,P4,1]
                                   0       -999989               
   197 AfterArrival[AV1,P4,2]
                                   0        -1e+06               
   198 AfterArrival[AV1,P4,3]
                                   0  -1.00002e+06               
   199 AfterArrival[AV1,P4,4]
                                   0  -1.00003e+06               
   200 AfterArrival[AV1,P4,5]
                                   0  -1.00005e+06               
   201 AfterArrival[AV1,P4,6]
                                   0  -1.00006e+06               
   202 AfterArrival[AV1,P4,7]
                                   0  -1.00008e+06               
   203 AfterArrival[AV2,P1,1]
                                   0        -1e+06               
   204 AfterArrival[AV2,P1,2]
                                   0  -1.00002e+06               
   205 AfterArrival[AV2,P1,3]
                                   0  -1.00003e+06               
   206 AfterArrival[AV2,P1,4]
                                   0  -1.00005e+06               
   207 AfterArrival[AV2,P1,5]
                                   0  -1.00006e+06               
   208 AfterArrival[AV2,P1,6]
                                   0  -1.00008e+06               
   209 AfterArrival[AV2,P1,7]
                                   0  -1.00009e+06               
   210 AfterArrival[AV2,P2,1]
                                   0        -1e+06               
   211 AfterArrival[AV2,P2,2]
                                   0  -1.00002e+06               
   212 AfterArrival[AV2,P2,3]
                                   0  -1.00003e+06               
   213 AfterArrival[AV2,P2,4]
                                   0  -1.00005e+06               
   214 AfterArrival[AV2,P2,5]
                                   0  -1.00006e+06               
   215 AfterArrival[AV2,P2,6]
                                   0  -1.00008e+06               
   216 AfterArrival[AV2,P2,7]
                                   0  -1.00009e+06               
   217 AfterArrival[AV2,P3,1]
                                   0        -1e+06               
   218 AfterArrival[AV2,P3,2]
                                   0  -1.00002e+06               
   219 AfterArrival[AV2,P3,3]
                                   0  -1.00003e+06               
   220 AfterArrival[AV2,P3,4]
                                   0  -1.00005e+06               
   221 AfterArrival[AV2,P3,5]
                                   0  -1.00006e+06               
   222 AfterArrival[AV2,P3,6]
                                   0  -1.00008e+06               
   223 AfterArrival[AV2,P3,7]
                                   0  -1.00009e+06               
   224 AfterArrival[AV2,P4,1]
                             -999999        -1e+06               
   225 AfterArrival[AV2,P4,2]
                                   0  -1.00002e+06               
   226 AfterArrival[AV2,P4,3]
                                   0  -1.00003e+06               
   227 AfterArrival[AV2,P4,4]
                                   0  -1.00005e+06               
   228 AfterArrival[AV2,P4,5]
                                   0  -1.00006e+06               
   229 AfterArrival[AV2,P4,6]
                                   0  -1.00008e+06               
   230 AfterArrival[AV2,P4,7]
                                   0  -1.00009e+06               
   231 AfterArrival[AV3,P1,1]
                                   0       -999959               
   232 AfterArrival[AV3,P1,2]
                                   0       -999974               
   233 AfterArrival[AV3,P1,3]
                                   0       -999989               
   234 AfterArrival[AV3,P1,4]
                                   0        -1e+06               
   235 AfterArrival[AV3,P1,5]
                                   0  -1.00002e+06               
   236 AfterArrival[AV3,P1,6]
                                   0  -1.00003e+06               
   237 AfterArrival[AV3,P1,7]
                                   0  -1.00005e+06               
   238 AfterArrival[AV3,P2,1]
                                   0       -999959               
   239 AfterArrival[AV3,P2,2]
                                   0       -999974               
   240 AfterArrival[AV3,P2,3]
                                   0       -999989               
   241 AfterArrival[AV3,P2,4]
                             -999999        -1e+06               
   242 AfterArrival[AV3,P2,5]
                                   0  -1.00002e+06               
   243 AfterArrival[AV3,P2,6]
                                   0  -1.00003e+06               
   244 AfterArrival[AV3,P2,7]
                                   0  -1.00005e+06               
   245 AfterArrival[AV3,P3,1]
                                   0       -999959               
   246 AfterArrival[AV3,P3,2]
                                   0       -999974               
   247 AfterArrival[AV3,P3,3]
                                   0       -999989               
   248 AfterArrival[AV3,P3,4]
                                   0        -1e+06               
   249 AfterArrival[AV3,P3,5]
                                   0  -1.00002e+06               
   250 AfterArrival[AV3,P3,6]
                                   0  -1.00003e+06               
   251 AfterArrival[AV3,P3,7]
                                   0  -1.00005e+06               
   252 AfterArrival[AV3,P4,1]
                                   0       -999959               
   253 AfterArrival[AV3,P4,2]
                                   0       -999974               
   254 AfterArrival[AV3,P4,3]
                                   0       -999989               
   255 AfterArrival[AV3,P4,4]
                                   0        -1e+06               
   256 AfterArrival[AV3,P4,5]
                                   0  -1.00002e+06               
   257 AfterArrival[AV3,P4,6]
                                   0  -1.00003e+06               
   258 AfterArrival[AV3,P4,7]
                                   0  -1.00005e+06               
   259 AfterArrival[AV4,P1,1]
                                   0       -999944               
   260 AfterArrival[AV4,P1,2]
                                   0       -999959               
   261 AfterArrival[AV4,P1,3]
                                   0       -999974               
   262 AfterArrival[AV4,P1,4]
                                   0       -999989               
   263 AfterArrival[AV4,P1,5]
                             -999999        -1e+06               
   264 AfterArrival[AV4,P1,6]
                                   0  -1.00002e+06               
   265 AfterArrival[AV4,P1,7]
                                   0  -1.00003e+06               
   266 AfterArrival[AV4,P2,1]
                                   0       -999944               
   267 AfterArrival[AV4,P2,2]
                                   0       -999959               
   268 AfterArrival[AV4,P2,3]
                                   0       -999974               
   269 AfterArrival[AV4,P2,4]
                                   0       -999989               
   270 AfterArrival[AV4,P2,5]
                                   0        -1e+06               
   271 AfterArrival[AV4,P2,6]
                                   0  -1.00002e+06               
   272 AfterArrival[AV4,P2,7]
                                   0  -1.00003e+06               
   273 AfterArrival[AV4,P3,1]
                                   0       -999944               
   274 AfterArrival[AV4,P3,2]
                                   0       -999959               
   275 AfterArrival[AV4,P3,3]
                                   0       -999974               
   276 AfterArrival[AV4,P3,4]
                                   0       -999989               
   277 AfterArrival[AV4,P3,5]
                                   0        -1e+06               
   278 AfterArrival[AV4,P3,6]
                                   0  -1.00002e+06               
   279 AfterArrival[AV4,P3,7]
                                   0  -1.00003e+06               
   280 AfterArrival[AV4,P4,1]
                                   0       -999944               
   281 AfterArrival[AV4,P4,2]
                                   0       -999959               
   282 AfterArrival[AV4,P4,3]
                                   0       -999974               
   283 AfterArrival[AV4,P4,4]
                                   0       -999989               
   284 AfterArrival[AV4,P4,5]
                                   0        -1e+06               
   285 AfterArrival[AV4,P4,6]
                                   0  -1.00002e+06               
   286 AfterArrival[AV4,P4,7]
                                   0  -1.00003e+06               
   287 AfterArrival[AV5,P1,1]
                                   0       -999929               
   288 AfterArrival[AV5,P1,2]
                                   0       -999944               
   289 AfterArrival[AV5,P1,3]
                                   0       -999959               
   290 AfterArrival[AV5,P1,4]
                                   0       -999974               
   291 AfterArrival[AV5,P1,5]
                                   0       -999989               
   292 AfterArrival[AV5,P1,6]
                                   0        -1e+06               
   293 AfterArrival[AV5,P1,7]
                                   0  -1.00002e+06               
   294 AfterArrival[AV5,P2,1]
                                   0       -999929               
   295 AfterArrival[AV5,P2,2]
                                   0       -999944               
   296 AfterArrival[AV5,P2,3]
                                   0       -999959               
   297 AfterArrival[AV5,P2,4]
                                   0       -999974               
   298 AfterArrival[AV5,P2,5]
                                   0       -999989               
   299 AfterArrival[AV5,P2,6]
                                   0        -1e+06               
   300 AfterArrival[AV5,P2,7]
                                   0  -1.00002e+06               
   301 AfterArrival[AV5,P3,1]
                                   0       -999929               
   302 AfterArrival[AV5,P3,2]
                                   0       -999944               
   303 AfterArrival[AV5,P3,3]
                                   0       -999959               
   304 AfterArrival[AV5,P3,4]
                                   0       -999974               
   305 AfterArrival[AV5,P3,5]
                                   0       -999989               
   306 AfterArrival[AV5,P3,6]
                                   0        -1e+06               
   307 AfterArrival[AV5,P3,7]
                                   0  -1.00002e+06               
   308 AfterArrival[AV5,P4,1]
                                   0       -999929               
   309 AfterArrival[AV5,P4,2]
                                   0       -999944               
   310 AfterArrival[AV5,P4,3]
                                   0       -999959               
   311 AfterArrival[AV5,P4,4]
                                   0       -999974               
   312 AfterArrival[AV5,P4,5]
                                   0       -999989               
   313 AfterArrival[AV5,P4,6]
                             -999999        -1e+06               
   314 AfterArrival[AV5,P4,7]
                                   0  -1.00002e+06               
   315 BeforeDeadline[AV1,P1,1]
                                   0                 1.00007e+06 
   316 BeforeDeadline[AV1,P1,2]
                                   0                 1.00006e+06 
   317 BeforeDeadline[AV1,P1,3]
                                   0                 1.00004e+06 
   318 BeforeDeadline[AV1,P1,4]
                                   0                 1.00003e+06 
   319 BeforeDeadline[AV1,P1,5]
                                   0                 1.00001e+06 
   320 BeforeDeadline[AV1,P1,6]
                                   0                      999999 
   321 BeforeDeadline[AV1,P1,7]
                                   0                      999984 
   322 BeforeDeadline[AV1,P2,1]
                                   0                 1.00007e+06 
   323 BeforeDeadline[AV1,P2,2]
                                   0                 1.00006e+06 
   324 BeforeDeadline[AV1,P2,3]
                                   0                 1.00004e+06 
   325 BeforeDeadline[AV1,P2,4]
                                   0                 1.00003e+06 
   326 BeforeDeadline[AV1,P2,5]
                                   0                 1.00001e+06 
   327 BeforeDeadline[AV1,P2,6]
                                   0                      999999 
   328 BeforeDeadline[AV1,P2,7]
                                   0                      999984 
   329 BeforeDeadline[AV1,P3,1]
                                   0                 1.00007e+06 
   330 BeforeDeadline[AV1,P3,2]
                              999999                 1.00006e+06 
   331 BeforeDeadline[AV1,P3,3]
                                   0                 1.00004e+06 
   332 BeforeDeadline[AV1,P3,4]
                                   0                 1.00003e+06 
   333 BeforeDeadline[AV1,P3,5]
                                   0                 1.00001e+06 
   334 BeforeDeadline[AV1,P3,6]
                                   0                      999999 
   335 BeforeDeadline[AV1,P3,7]
                                   0                      999984 
   336 BeforeDeadline[AV1,P4,1]
                                   0                 1.00007e+06 
   337 BeforeDeadline[AV1,P4,2]
                                   0                 1.00006e+06 
   338 BeforeDeadline[AV1,P4,3]
                                   0                 1.00004e+06 
   339 BeforeDeadline[AV1,P4,4]
                                   0                 1.00003e+06 
   340 BeforeDeadline[AV1,P4,5]
                                   0                 1.00001e+06 
   341 BeforeDeadline[AV1,P4,6]
                                   0                      999999 
   342 BeforeDeadline[AV1,P4,7]
                                   0                      999984 
   343 BeforeDeadline[AV2,P1,1]
                                   0                 1.00003e+06 
   344 BeforeDeadline[AV2,P1,2]
                                   0                 1.00001e+06 
   345 BeforeDeadline[AV2,P1,3]
                                   0                      999999 
   346 BeforeDeadline[AV2,P1,4]
                                   0                      999984 
   347 BeforeDeadline[AV2,P1,5]
                                   0                      999969 
   348 BeforeDeadline[AV2,P1,6]
                                   0                      999954 
   349 BeforeDeadline[AV2,P1,7]
                                   0                      999939 
   350 BeforeDeadline[AV2,P2,1]
                                   0                 1.00003e+06 
   351 BeforeDeadline[AV2,P2,2]
                                   0                 1.00001e+06 
   352 BeforeDeadline[AV2,P2,3]
                                   0                      999999 
   353 BeforeDeadline[AV2,P2,4]
                                   0                      999984 
   354 BeforeDeadline[AV2,P2,5]
                                   0                      999969 
   355 BeforeDeadline[AV2,P2,6]
                                   0                      999954 
   356 BeforeDeadline[AV2,P2,7]
                                   0                      999939 
   357 BeforeDeadline[AV2,P3,1]
                                   0                 1.00003e+06 
   358 BeforeDeadline[AV2,P3,2]
                                   0                 1.00001e+06 
   359 BeforeDeadline[AV2,P3,3]
                                   0                      999999 
   360 BeforeDeadline[AV2,P3,4]
                                   0                      999984 
   361 BeforeDeadline[AV2,P3,5]
                                   0                      999969 
   362 BeforeDeadline[AV2,P3,6]
                                   0                      999954 
   363 BeforeDeadline[AV2,P3,7]
                                   0                      999939 
   364 BeforeDeadline[AV2,P4,1]
                              999999                 1.00003e+06 
   365 BeforeDeadline[AV2,P4,2]
                                   0                 1.00001e+06 
   366 BeforeDeadline[AV2,P4,3]
                                   0                      999999 
   367 BeforeDeadline[AV2,P4,4]
                                   0                      999984 
   368 BeforeDeadline[AV2,P4,5]
                                   0                      999969 
   369 BeforeDeadline[AV2,P4,6]
                                   0                      999954 
   370 BeforeDeadline[AV2,P4,7]
                                   0                      999939 
   371 BeforeDeadline[AV3,P1,1]
                                   0                 1.00006e+06 
   372 BeforeDeadline[AV3,P1,2]
                                   0                 1.00004e+06 
   373 BeforeDeadline[AV3,P1,3]
                                   0                 1.00003e+06 
   374 BeforeDeadline[AV3,P1,4]
                                   0                 1.00001e+06 
   375 BeforeDeadline[AV3,P1,5]
                                   0                      999999 
   376 BeforeDeadline[AV3,P1,6]
                                   0                      999984 
   377 BeforeDeadline[AV3,P1,7]
                                   0                      999969 
   378 BeforeDeadline[AV3,P2,1]
                                   0                 1.00006e+06 
   379 BeforeDeadline[AV3,P2,2]
                                   0                 1.00004e+06 
   380 BeforeDeadline[AV3,P2,3]
                                   0                 1.00003e+06 
   381 BeforeDeadline[AV3,P2,4]
                              999999                 1.00001e+06 
   382 BeforeDeadline[AV3,P2,5]
                                   0                      999999 
   383 BeforeDeadline[AV3,P2,6]
                                   0                      999984 
   384 BeforeDeadline[AV3,P2,7]
                                   0                      999969 
   385 BeforeDeadline[AV3,P3,1]
                                   0                 1.00006e+06 
   386 BeforeDeadline[AV3,P3,2]
                                   0                 1.00004e+06 
   387 BeforeDeadline[AV3,P3,3]
                                   0                 1.00003e+06 
   388 BeforeDeadline[AV3,P3,4]
                                   0                 1.00001e+06 
   389 BeforeDeadline[AV3,P3,5]
                                   0                      999999 
   390 BeforeDeadline[AV3,P3,6]
                                   0                      999984 
   391 BeforeDeadline[AV3,P3,7]
                                   0                      999969 
   392 BeforeDeadline[AV3,P4,1]
                                   0                 1.00006e+06 
   393 BeforeDeadline[AV3,P4,2]
                                   0                 1.00004e+06 
   394 BeforeDeadline[AV3,P4,3]
                                   0                 1.00003e+06 
   395 BeforeDeadline[AV3,P4,4]
                                   0                 1.00001e+06 
   396 BeforeDeadline[AV3,P4,5]
                                   0                      999999 
   397 BeforeDeadline[AV3,P4,6]
                                   0                      999984 
   398 BeforeDeadline[AV3,P4,7]
                                   0                      999969 
   399 BeforeDeadline[AV4,P1,1]
                                   0                 1.00007e+06 
   400 BeforeDeadline[AV4,P1,2]
                                   0                 1.00006e+06 
   401 BeforeDeadline[AV4,P1,3]
                                   0                 1.00004e+06 
   402 BeforeDeadline[AV4,P1,4]
                                   0                 1.00003e+06 
   403 BeforeDeadline[AV4,P1,5]
                              999999                 1.00001e+06 
   404 BeforeDeadline[AV4,P1,6]
                                   0                      999999 
   405 BeforeDeadline[AV4,P1,7]
                                   0                      999984 
   406 BeforeDeadline[AV4,P2,1]
                                   0                 1.00007e+06 
   407 BeforeDeadline[AV4,P2,2]
                                   0                 1.00006e+06 
   408 BeforeDeadline[AV4,P2,3]
                                   0                 1.00004e+06 
   409 BeforeDeadline[AV4,P2,4]
                                   0                 1.00003e+06 
   410 BeforeDeadline[AV4,P2,5]
                                   0                 1.00001e+06 
   411 BeforeDeadline[AV4,P2,6]
                                   0                      999999 
   412 BeforeDeadline[AV4,P2,7]
                                   0                      999984 
   413 BeforeDeadline[AV4,P3,1]
                                   0                 1.00007e+06 
   414 BeforeDeadline[AV4,P3,2]
                                   0                 1.00006e+06 
   415 BeforeDeadline[AV4,P3,3]
                                   0                 1.00004e+06 
   416 BeforeDeadline[AV4,P3,4]
                                   0                 1.00003e+06 
   417 BeforeDeadline[AV4,P3,5]
                                   0                 1.00001e+06 
   418 BeforeDeadline[AV4,P3,6]
                                   0                      999999 
   419 BeforeDeadline[AV4,P3,7]
                                   0                      999984 
   420 BeforeDeadline[AV4,P4,1]
                                   0                 1.00007e+06 
   421 BeforeDeadline[AV4,P4,2]
                                   0                 1.00006e+06 
   422 BeforeDeadline[AV4,P4,3]
                                   0                 1.00004e+06 
   423 BeforeDeadline[AV4,P4,4]
                                   0                 1.00003e+06 
   424 BeforeDeadline[AV4,P4,5]
                                   0                 1.00001e+06 
   425 BeforeDeadline[AV4,P4,6]
                                   0                      999999 
   426 BeforeDeadline[AV4,P4,7]
                                   0                      999984 
   427 BeforeDeadline[AV5,P1,1]
                                   0                 1.00009e+06 
   428 BeforeDeadline[AV5,P1,2]
                                   0                 1.00007e+06 
   429 BeforeDeadline[AV5,P1,3]
                                   0                 1.00006e+06 
